event_id,user_id,timestamp,ip_address,country,city,device_id,login_result,is_anomaly,anomaly_type
1,1,2024-01-21 11:00:00,63.114.71.52,UK,London,Chrome,success,0,normal
2,1,2024-01-21 20:00:00,63.114.71.52,UK,London,Safari,success,0,normal
3,1,2024-01-22 04:00:00,63.114.71.52,France,Lyon,Safari,success,0,normal
4,1,2024-01-22 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal
5,1,2024-01-22 11:00:00,63.114.71.52,UK,London,Safari,success,0,normal
6,1,2024-01-22 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal
7,1,2024-01-23 02:00:00,63.114.71.52,UK,London,Safari,success,0,normal
8,1,2024-01-23 10:00:00,63.114.71.52,UK,London,Safari,success,0,normal
9,1,2024-01-23 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal
10,1,2024-01-24 04:00:00,63.114.71.52,UK,London,Safari,success,0,normal
11,1,2024-01-24 05:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal
12,1,2024-01-24 13:00:00,63.114.71.52,UK,London,Safari,success,0,normal
13,1,2024-01-24 22:00:00,63.114.71.52,UK,London,Safari,success,0,normal
14,1,2024-01-25 01:00:00,63.114.71.52,UK,London,Safari,success,0,normal
15,1,2024-01-25 12:00:00,63.114.71.52,UK,Manchester,Safari,success,0,normal
16,1,2024-01-25 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal
17,1,2024-01-26 08:00:00,196.91.54.152,UK,London,Safari,success,0,normal
18,1,2024-01-26 19:00:00,237.0.165.250,UK,London,Safari,success,0,normal
19,1,2024-01-26 20:00:00,63.114.71.52,UK,London,Safari,success,0,normal
20,1,2024-01-27 00:00:00,63.114.71.52,UK,London,Safari,success,0,normal
21,1,2024-01-27 09:00:00,63.114.71.52,UK,London,Safari,success,0,normal
22,1,2024-01-27 19:00:00,63.114.71.52,UK,London,Safari,success,0,normal
23,1,2024-01-28 00:00:00,63.114.71.52,UK,London,Safari,success,0,normal
24,1,2024-01-28 04:00:00,63.114.71.52,UK,London,Safari,success,0,normal
25,1,2024-01-28 06:00:00,63.114.71.52,UK,London,Safari,success,0,normal
26,1,2024-01-28 10:00:00,148.242.124.242,UK,London,Safari,success,0,normal
27,1,2024-01-28 17:00:00,14.50.31.206,UK,Manchester,Safari,success,0,normal
28,1,2024-01-29 05:00:00,63.114.71.52,UK,London,Safari,success,0,normal
29,1,2024-01-29 12:00:00,63.114.71.52,UK,London,Chrome,success,0,normal
30,1,2024-01-29 21:00:00,63.114.71.52,UK,London,Safari,success,0,normal
31,1,2024-01-30 05:00:00,63.114.71.52,UK,London,Safari,success,0,normal
32,1,2024-01-30 12:00:00,255.249.79.97,UK,London,Safari,success,0,normal
33,1,2024-01-30 17:00:00,63.114.71.52,UK,London,Edge,success,0,normal
34,1,2024-01-31 02:00:00,63.114.71.52,UK,London,Safari,success,0,normal
35,1,2024-01-31 13:00:00,63.114.71.52,UK,London,Safari,success,0,normal
36,1,2024-01-31 14:00:00,53.160.122.135,UK,London,Safari,success,0,normal
37,1,2024-01-31 21:00:00,3.234.51.37,UK,London,Safari,success,0,normal
38,1,2024-02-01 06:00:00,95.145.80.224,UK,London,Safari,success,0,normal
39,1,2024-02-01 15:00:00,63.114.71.52,UK,London,Safari,success,0,normal
40,1,2024-02-02 00:00:00,63.114.71.52,UK,London,Safari,success,0,normal
41,2,2024-01-04 11:00:00,24.216.141.22,Japan,Tokyo,Safari,success,0,normal
42,2,2024-01-04 12:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
43,2,2024-01-05 00:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
44,2,2024-01-05 01:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
45,2,2024-01-05 02:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
46,2,2024-01-05 09:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
47,2,2024-01-05 12:00:00,73.107.175.104,Japan,Osaka,Safari,success,0,normal
48,2,2024-01-06 00:00:00,220.240.113.102,Japan,Tokyo,Safari,success,0,normal
49,2,2024-01-06 08:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
50,2,2024-01-06 15:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
51,2,2024-01-06 22:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
52,2,2024-01-07 03:00:00,73.107.175.104,Germany,Munich,Safari,success,1,rare_location
53,2,2024-01-07 10:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
54,2,2024-01-07 22:00:00,189.100.186.220,Japan,Tokyo,Safari,success,0,normal
55,2,2024-01-08 00:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
56,2,2024-01-08 05:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
57,2,2024-01-08 09:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
58,2,2024-01-08 14:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
59,2,2024-01-09 00:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
60,2,2024-01-09 12:00:00,73.107.175.104,Japan,Osaka,Safari,success,0,normal
61,2,2024-01-09 17:00:00,73.107.175.104,France,Lyon,Safari,success,0,normal
62,2,2024-01-10 01:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
63,2,2024-01-10 05:00:00,200.217.112.90,Japan,Tokyo,Safari,success,0,normal
64,2,2024-01-10 17:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
65,2,2024-01-11 01:00:00,157.218.228.81,Japan,Tokyo,Safari,success,0,normal
66,2,2024-01-11 13:00:00,73.107.175.104,Japan,Tokyo,Safari,success,0,normal
